"CA6 Compensation of Employees by SIC Industry"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1998","1999","2000"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","610","      Wholesale trade",332221,334298,378950
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","620","      Retail trade",736225,749834,776016
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","621","        Building materials and garden equipment",38018,41838,48548
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","622","        General merchandise stores",65064,66311,69188
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","623","        Food stores",75071,82996,87972
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","624","        Automotive dealers and service stations",104406,113645,116845
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","625","        Apparel and accessory stores",22563,24027,23850
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","626","        Home furniture and furnishings stores",39380,44727,48285
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","627","        Eating and drinking places",223528,215818,220974
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","628","        Miscellaneous retail",168195,160472,160354
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","700","      Finance, insurance, and real estate",261039,257695,277389
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","710","        Depository and nondepository institutions",122674,105430,106043
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","730","        Other finance, insurance, and real estate",138365,152265,171346
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","731","          Security and commodity brokers",22898,25562,29065
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","732","          Insurance carriers",25460,26236,28721
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","733","          Insurance agents, brokers, and services",19425,21667,21388
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","734","          Real estate",56412,56753,70066
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","735","          Combined real estate, insurance, etc.","(NA)","(NA)","(NA)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","736","          Holding and other investment offices",14170,22047,22106
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","800","      Services",1872800,2233914,2490212
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","805","        Hotels and other lodging places",26109,23843,25729
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","810","        Personal services",26660,31582,34026
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","815","        Private households",10807,9654,10070
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","820","        Business services",547589,698075,800640
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","825","        Automotive repair, services, and parking",43745,40964,44165
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","830","        Miscellaneous repair services",7988,8329,8073
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","835","        Amusement and recreation services",28817,33889,35143
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","840","        Motion pictures",7353,8298,8767
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","845","        Health services",516912,622655,669055
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","850","        Legal services",63526,68619,69648
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","855","        Educational services",33368,37749,36413
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","860","        Social services",77833,89128,88534
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","865","        Museums, botanical, zoological gardens","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","870","        Membership organizations",60310,64207,70639
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","875","        Engineering and management services",413078,490182,581378
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","880","        Miscellaneous services","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","900","    Government and government enterprises",2439449,2623577,2802064
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","910","      Federal, civilian",133334,138179,146733
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","920","      Military",11138,11944,12302
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","930","      State and local",2294977,2473454,2643029
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","931","        State government",1788778,1931096,2066949
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","932","        Local government",506199,542358,576080
"Legend / Footnotes:"
"1/ The estimates of compensation for 1998-2000 are based on the 1987 Standard Industrial Classification (SIC)."
"2/ Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period."
"3/ Average compensation per job is compensation of employees divided by total full-time and part-time wage and salary employment."
"Note-- All dollar estimates are in current dollars (not adjusted for inflation)."
"(D) Not shown to avoid disclosure of confidential information, but the estimates for this item are included in the total."
"(NA) Data not available for this year."
"Last updated: May 30, 2014-- revised estimates for 1998-2000."
