"CA6N Compensation of Employees by NAICS Industry"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","518","          Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",590390,"(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","519","          Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1334,"(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","521","          Furniture and related product manufacturing",4108,3530,4133,4101,4050,4236,4253,4469,3698,3921,3877,3937,3822,4203,5502
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","522","          Miscellaneous manufacturing",86757,80658,80566,84090,89269,90765,94411,99892,111782,113986,117686,133104,142076,142188,155790
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","530","        Nondurable goods manufacturing",269973,271007,267406,281788,284810,300076,312079,305745,266704,299501,301834,304499,310021,347867,350398
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","531","          Food manufacturing",24619,23819,24680,24771,25295,32284,30678,31442,32988,34219,35819,39204,39352,43815,47940
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","532","          Beverage and tobacco product manufacturing","(D)","(D)","(D)","(D)","(D)",349,369,374,"(D)","(D)","(D)","(D)","(D)","(D)",909
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","533","          Textile mills","(D)","(D)","(D)",0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","534","          Textile product mills","(D)",535,513,396,399,420,530,491,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","535","          Apparel manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",108,141,150,232
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","536","          Leather and allied product manufacturing",0,"(D)","(D)","(D)","(D)","(D)",0,0,0,0,0,0,0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","537","          Paper manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","538","          Printing and related support activities",119730,115639,119588,115850,120229,118906,121892,122759,104616,101931,102718,103476,96993,95888,93284
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","539","          Petroleum and coal products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","541","          Chemical manufacturing",42790,44420,48947,61670,63527,72672,76145,70419,58561,66488,57899,57364,59431,64571,71602
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","542","          Plastics and rubber products manufacturing",66852,70083,56025,67266,63671,63886,70454,68058,59033,85403,93378,90893,99924,129369,122560
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","600","      Wholesale trade",320455,337723,355160,369559,376865,407072,442700,417144,403570,407381,406084,412418,395109,423220,467922
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","700","      Retail trade",581928,591479,557455,579715,574517,557584,553690,563560,547289,553322,559343,526881,549921,566725,582820
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","701","        Motor vehicle and parts dealers",116364,123739,114880,115984,104329,101787,98544,104629,93928,97711,97377,90338,98016,106241,107442
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","702","        Furniture and home furnishings stores",24812,24056,23931,25748,25935,24006,21671,19659,16556,17621,18697,19640,20262,21026,22476
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","703","        Electronics and appliance stores",35071,32154,32461,35720,37886,44410,45204,47510,46812,41863,35981,39584,37839,36198,36981
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","704","        Building material and garden equipment and supplies dealers",50411,46067,47818,53498,54361,48468,45965,44455,43279,42551,47487,51159,54211,56618,62547
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","705","        Food and beverage stores",97701,100402,105872,113704,114919,112005,117261,126303,126488,126666,129774,93424,100575,98692,97819
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","706","        Health and personal care stores",30432,31325,33259,37116,38277,40343,41400,37698,35294,45731,46725,48876,48266,53899,53458
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","707","        Gasoline stations",11586,11272,10552,9736,9559,10250,9546,10044,9941,11245,11654,10833,12107,12258,12170
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","708","        Clothing and clothing accessories stores",28974,29520,30157,33337,34812,37203,35150,32857,30562,31633,28904,31909,31262,29849,31490
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","709","        Sporting goods, hobby, musical instrument, and book stores",62624,66658,31253,25021,25980,20820,21412,26066,25159,21287,18968,15489,15987,15443,15782
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","711","        General merchandise stores",77594,78856,79232,83135,80034,80419,79470,77209,80131,79570,83558,84735,87165,87807,90645
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","712","        Miscellaneous store retailers",32205,32024,32356,32697,31897,20165,19662,18965,20230,18300,18798,20145,20206,21782,24055
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","713","        Nonstore retailers",14154,15406,15684,14019,16528,17708,18405,18165,18909,19144,21420,20749,24025,26912,27955
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","800","      Transportation and warehousing",109580,103745,133051,162571,195448,206126,217431,241834,192591,206649,246836,227064,207694,201018,226218
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","801","        Air transportation",19158,13398,38991,55493,69128,78811,"(D)","(D)","(D)",105555,133443,104088,84269,70262,73906
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","802","        Rail transportation",740,678,690,707,695,731,727,739,656,689,832,914,793,853,871
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","803","        Water transportation",0,0,0,0,0,0,0,0,0,0,0,"(D)","(D)","(D)",0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","804","        Truck transportation",51481,53536,59769,70082,85877,86319,86590,100467,71135,58004,59069,65306,67789,71718,76292
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","805","        Transit and ground passenger transportation",4786,4872,5854,7642,8966,9167,9579,8924,8157,6837,6379,7731,8437,9128,10831
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","806","        Pipeline transportation","(D)","(D)","(D)",0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","807","        Scenic and sightseeing transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","808","        Support activities for transportation",7139,6643,5776,6050,6259,5910,5921,5909,6218,6155,7066,9197,8305,13578,15224
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","809","        Couriers and messengers",17670,17127,17779,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",22058,23125,"(D)"
